Suburb,Location
Taylors Lakes,"Kings Road at the intersection of Kings Road and Melton Highway, Taylors Lakes"
Templestowe Lower,"Manningham Road at the intersection of Manningham Road and Macedon Road, Templestowe Lower"
Templestowe Lower,"High Street at the intersection of High Street and Verene Avenue, Templestowe Lower"
Thomastown,"Mahoneys Road at the intersection of Mahoneys Road and High Street, Thomastown"
Thornbury,"St Georges Road at the intersection of St Georges Road and Normanby Avenue, Thornbury"
Thornbury,"St Georges Road at the intersection of St Georges Road and Normanby Avenue, Thornbury"
Vermont South,"Burwood Highway at the intersection of Burwood Highway and Springvale Road, Vermont South"
Wantirna,"Boronia Road at the intersection of Boronia Road and Wantirna Road, Wantirna"
Wantirna,"Mountain Highway at the intersection of Mountain Highway and Wantirna Road, Wantirna"
Wantirna South,"High Street Road at the intersection of High Street Road and Stud Road, Wantirna South"
Wantirna South,"Burwood Highway at the intersection of Burwood Highway and Stud Road, Wantirna South"
Warrnambool,"Raglan Parade at the intersection of Raglan Parade and Mahoneys Road, Warrnambool"
Watsonia,"Greensborough Highway at the intersection of Greensborough Highway and Grimshaw Street, Watsonia"
Watsonia North,"Grimshaw Street at the intersection of Grimshaw Street and Macorna Street, Watsonia North"
West Gate Freeway Altona North,"West Gate Freeway, Millers Road Gantry, Geelong Bound, Altona North"
West Melbourne,"King Street at the intersection of King Street and Hawke Street, West Melbourne"
West Melbourne,"Peel Street at the intersection of Peel Street and Victoria Street, West Melbourne"
West Melbourne,"Latrobe Street at the intersection of Latrobe Street and Spencer Street, West Melbourne"
West Melbourne,"Spencer Street at the intersection of Spencer Street and Dudley Street, West Melbourne"
Western Ring Road Ardeer,"Western Ring Road, Southbound Western Highway North Side Gantry, Ardeer"
Western Ring Road Deer Park,"Western Ring Road, Northbound Western Highway Off Ramp / South Side Gantry, Deer Park"
"Western Ring Road, Glenroy","Western Ring Road, Glenroy, Westbound, approximately 600 metres West of Sydney Road"
Western Ring Road Broadmeadows,"Western Ring Road, Eastbound West of Sydney Road, Broadmeadows"
Western Ring Road Keilor East,"Western Ring Road, Northbound Keilor Park Drive Bridge, Keilor East"
Western Ring Road Laverton North,"Western Ring Road, Northbound Boundary Road South Side Gantry, Laverton North"
Western Ring Road Sunshine West,"Western Ring Road, Southbound Boundary Road, North Side Gantry, Sunshine West"
Wodonga,"Lincoln Causeway at the intersection of Lincoln Causeway and Hume Highway ramp, Wodonga"
Yarraville,"Somerville Road at the intersection of Somerville Road and Geelong Road, Yarraville"
Yarraville,"Williamstown Road at the intersection of Williamstown Road and Somerville Road, Yarraville"
